ticker,company_name,exchange,icb_l2,group,close_raw,outstanding_shares,free_float,free_float_ratio,float_cap,market_cap_vendor,mcap_gap,sessions_21,value_21,adv_21,turnover_21_pct,fol_limit,adj_factor
ACB,Asia Commercial Bank,HOSE,Banks,Banks - Private,22750,5804421957,4933758663,0.8499999999,1.122430096e+14,1.320505995e+14,0,21,7.913705536e+12,3.768431207e+11,7.05051082,,1
ANV,Nam Viet,HOSE,Food & Beverage,Food - Agriculture,18050,266255750,79876725,0.3,1.441774886e+12,4.805916288e+12,0,21,2.162236954e+11,1.029636645e+10,14.99704964,,1
BAF,BAF Vietnam Agriculture,HOSE,Food & Beverage,Food - Agriculture,31450,364824906,255377434,0.6999999995,8.031620299e+12,1.147374329e+13,0,21,1.424963561e+12,6.785540766e+10,17.74191891,,1
BCM,Becamex Group,HOSE,Real Estate,Real Estate - Industrial,44000,1035000000,41400000,0.04,1.8216e+12,4.554e+13,0,21,6.292400662e+11,2.996381267e+10,34.54326231,,1
BID,BIDV,HOSE,Banks,Banks - State,39250,7280065210,436803912,0.05999999992,1.714455355e+13,2.857425595e+14,0,21,3.45872121e+12,1.6470101e+11,20.17387738,,0.936
BMP,Binh Minh Plastics,HOSE,Construction & Materials,Building Materials,148500,81860938,36837422,0.4499999988,5.470357167e+12,1.215634929e+13,0,21,4.591897875e+11,2.186618036e+10,8.394146369,,1
BSI,BIDV Securities,HOSE,Financial Services,Financial Services,29000,269901549,37786216,0.1399999968,1.095800264e+12,7.827144921e+12,0,21,3.170398078e+11,1.509713371e+10,28.93226241,,1
BSR,PetroVietnam Refining and Petrochemical,HOSE,Oil & Gas,Oil & Gas,26500,5007299686,400583974,0.07999999982,1.061547531e+13,1.326934417e+14,0,21,4.749500081e+12,2.261666705e+11,44.74128517,,1
BVH,Bao Viet Group,HOSE,Insurance,Insurance,66800,742322764,74232276,0.09999999946,4.958716037e+12,4.958716064e+13,0,21,5.674025639e+11,2.701916971e+10,11.44252987,,1
BWE,Binh Duong Water Environment,HOSE,Utilities,Utilities,44400,251347021,62836755,0.249999999,2.789951922e+12,1.115980773e+13,0,21,3.507550838e+11,1.670262304e+10,12.57208345,,1
CII,Ho Chi Minh Infrastructure,HOSE,Construction & Materials,Construction Contractors,14200,671985291,638386026,0.9499999993,9.065081569e+12,9.542191132e+12,0,21,2.587415647e+12,1.232102689e+11,28.54266261,,1
CMG,CMC Corporation,HOSE,Technology,Technology,24700,232900908,93160363,0.3999999991,2.301060966e+12,5.752652428e+12,0,21,9.671877415e+10,4605655912,4.203225189,,1
CTD,COTECCONS construction,HOSE,Construction & Materials,Construction Contractors,63500,111823220,61502771,0.55,3.905425958e+12,7.10077447e+12,0,21,5.521779475e+11,2.629418798e+10,14.13873809,,1
CTG,VietinBank,HOSE,Banks,Banks - State,32200,7766944637,1165041695,0.1499999999,3.751434258e+13,2.500956173e+14,0,21,6.087820098e+12,2.898961952e+11,16.22798023,,1
CTR,Viettel Construction,HOSE,Construction & Materials,Construction Contractors,76500,128109533,44838336,0.3499999957,3.430132704e+12,9.800379274e+12,0,21,5.248609719e+11,2.499337961e+10,15.30147715,,1
CTS,Vietinbank Securities,HOSE,Financial Services,Financial Services,22800,272244939,68061234,0.2499999972,1.551796135e+12,6.207184609e+12,0,21,1.149031877e+12,5.471580366e+10,74.04528538,,1
DBC,DABACO,HOSE,Food & Beverage,Food - Agriculture,16700,431046499,301732549,0.6999999993,5.038933568e+12,7.198476533e+12,0,21,7.499261618e+11,3.571076961e+10,14.88263641,,1
DCM,PetroVietnam Camau Fertilizer,HOSE,Chemicals,Chemicals,31350,529400000,132350000,0.25,4.1491725e+12,1.659669e+13,0,21,1.383039279e+12,6.58590133e+10,33.33289419,,1
DGW,Digiworld Corp.,HOSE,Retail,Consumer Retail,41000,221161000,121638550,0.55,4.98718055e+12,9.067601e+12,0,21,7.936886188e+11,3.779469613e+10,15.9145756,,1
DIG,DIC Corp,HOSE,Real Estate,Real Estate - Residential,10950,796431191,756609631,0.9499999994,8.284875459e+12,8.720921541e+12,0,21,2.23699644e+12,1.0652364e+11,27.00096641,,0.9434
DPM,Petrovietnam Fertilizer and Chemicals,HOSE,Chemicals,Chemicals,22300,679925021,271970008,0.3999999994,6.064931178e+12,1.516232797e+13,0,21,1.358124131e+12,6.467257768e+10,22.39306748,,1
DSE,DNSE Securities,HOSE,Financial Services,Financial Services,22750,428249806,149887432,0.3499999998,3.409939078e+12,9.742683086e+12,0,21,2.436197325e+11,1.160093964e+10,7.14440132,,1
DXG,Bluemarq Group,HOSE,Real Estate,Real Estate - Residential,11150,1268104965,1014483972,0.8,1.131149629e+13,1.413937036e+13,0,21,2.588308254e+12,1.23252774e+11,22.8821032,,1
EIB,Eximbank,HOSE,Banks,Banks - Private,18200,1862720607,1490176485,0.7999999997,2.712121203e+13,3.390151505e+13,0,21,4.043102495e+12,1.925286902e+11,14.9075288,,1
EVF,EVN General Finance,HOSE,Financial Services,Financial Services,12500,760565802,722537511,0.9499999988,9.031718888e+12,9.507072525e+12,0,21,7.498974574e+11,3.570940273e+10,8.302931775,,1
FPT,FPT Corp,HOSE,Technology,Technology,70800,1714326422,1457177458,0.8499999996,1.03168164e+14,1.213743107e+14,0,21,1.253271134e+13,5.967957782e+11,12.14784761,,1
FRT,FPT Retail,HOSE,Retail,Consumer Retail,148000,178815054,98348279,0.5499999961,1.455554529e+13,2.646462799e+13,0,21,2.229736583e+12,1.061779325e+11,15.31881175,,1
FTS,FPT Securities,HOSE,Financial Services,Financial Services,22450,381145750,152458300,0.4,3.422688835e+12,8.556722088e+12,0,21,6.100241796e+11,2.904877045e+10,17.82295175,,1
GAS,PetroVietnam Gas,HOSE,Utilities,Utilities,80000,2412949756,120647487,0.04999999967,9.65179896e+12,1.930359805e+14,0,21,2.181762256e+12,1.038934407e+11,22.6047213,,1
GEE,GELEX Electricity,HOSE,Industrial Goods & Services,Industrial,75300,640499211,89669889,0.1399999992,6.752142642e+12,4.822959059e+13,0,21,2.283142663e+12,1.087210792e+11,33.81360235,,1
GEX,Gelex Group JSC,HOSE,Industrial Goods & Services,Industrial,26150,1308471358,915929950,0.6999999995,2.395156819e+13,3.421652601e+13,0,21,8.375879692e+12,3.988514139e+11,34.97006804,,1
GMD,Gemadept Group,HOSE,Industrial Goods & Services,Logistics,77200,432892509,411247883,0.9499999987,3.174833657e+13,3.341930169e+13,0,21,2.651697468e+12,1.26271308e+11,8.352240635,,1
GVR,Viet Nam Rubber Group,HOSE,Chemicals,Chemicals,32250,4000000000,160000000,0.04,5.16e+12,1.29e+14,0,21,1.145086101e+12,5.452790956e+10,22.1915911,,1
HAG,HAGL Joint Stock Company,HOSE,Food & Beverage,Food - Agriculture,14150,1267399283,633699641,0.4999999996,8.96684992e+12,1.793369985e+13,0,21,9.799859492e+11,4.666599758e+10,10.92898797,,1
HCM,HSC Securities,HOSE,Financial Services,Financial Services,26150,1349945838,742470210,0.5499999993,1.941559599e+13,3.530108366e+13,0,21,5.735373267e+12,2.731130127e+11,29.54003199,,1
HDB,HDBank,HOSE,Banks,Banks - Private,27200,5005276323,4004221058,0.7999999999,1.089148128e+14,1.36143516e+14,0,21,8.670437603e+12,4.128779811e+11,7.96075151,,1
HDG,HA DO Construction,HOSE,Real Estate,Real Estate - Residential,16550,406957333,244174399,0.599999998,4.041086303e+12,6.735143861e+12,0,21,5.186948132e+11,2.469975301e+10,12.83552922,,1
HHV,Deo Ca Traffic Infrastructure Investment,HOSE,Construction & Materials,Construction Contractors,10300,574511888,488335104,0.8499999986,5.029851571e+12,5.917472446e+12,0,21,8.140117663e+11,3.876246506e+10,16.18361407,,1
HPG,Hoa Phat Group,HOSE,Basic Resources,Steel,22100,8442964520,5065778712,0.6,1.119537095e+14,1.865895159e+14,0,21,1.218609405e+13,5.802901928e+11,10.88493994,,1
HSG,Hoa Sen Group,HOSE,Basic Resources,Steel,10900,807262704,565083892,0.699999999,6.159414423e+12,8.799163474e+12,0,21,5.748973742e+11,2.737606544e+10,9.333636848,,1
HT1,VICEM Ha Tien,HOSE,Construction & Materials,Building Materials,13300,381589911,95397477,0.249999998,1.268786444e+12,5.075145816e+12,0,21,2.199204902e+11,1.047240429e+10,17.33313681,,1
KBC,Kinh Bac Urban Development,HOSE,Real Estate,Real Estate - Industrial,28000,941754759,612140593,0.6499999996,1.71399366e+13,2.636913325e+13,0,21,1.312414681e+12,6.249593719e+10,7.657056798,,1
KDC,KIDO Group,HOSE,Food & Beverage,Food - Staples & Beverage,51800,276345300,124355385,0.45,6.441608943e+12,1.431468654e+13,0,21,2.466735546e+12,1.174635974e+11,38.29377983,,1
KDH,Khang Dien House,HOSE,Real Estate,Real Estate - Residential,18150,1122214899,729439684,0.6499999997,1.323933026e+13,2.036820042e+13,0,21,2.27838048e+12,1.084943086e+11,17.2091823,,1
KOS,KOSY Company,HOSE,Real Estate,Real Estate - Residential,35000,216481335,86592534,0.4,3.03073869e+12,7.576846725e+12,0,21,1.262738408e+11,6013040036,4.166437746,,1
